prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL226_Ki_CHEMBL3802551,1118,559,559,187,371,0.9066902420792363,0.8465630479703554,True,65,0.07692307692307693,60,"{'ks_neg': (0.047090250688319624, 0.009167302482960438), 'ks_nc': (0.03220035778175334, 0.008050089720893883)}"
CHEMBL226_Ki_CHEMBL3878177,1118,559,559,203,374,0.8776360214756186,0.8200265501644256,True,44,0.06818181818181818,41,"{'ks_neg': (0.0661609252580519, 0.014180280702852044), 'ks_nc': (0.03756708407871223, 0.008340449570236164)}"
CHEMBL226_Ki_CHEMBL4152680,1118,559,559,201,382,0.8829595041552016,0.8266838438017704,True,39,0.07692307692307693,36,"{'ks_neg': (0.034879037922986744, 0.009839004145718921), 'ks_nc': (0.04114490161001816, 0.014022146442475125)}"
CHEMBL226_Ki_CHEMBL4275270,1118,559,559,196,372,0.9103207398661944,0.8655717814530995,True,52,0.07692307692307693,48,"{'ks_neg': (0.057028680246988706, 0.010733452610943328), 'ks_nc': (0.04830053667263001, 0.03407083421912893)}"
CHEMBL226_Ki_CHEMBL4333783,1118,559,559,202,377,0.8875669079512993,0.8263328834566125,True,78,0.11538461538461539,69,"{'ks_neg': (0.07124791808031472, 0.012522362038116408), 'ks_nc': (0.050089445438282976, 0.009951353364742399)}"
CHEMBL226_Ki_CHEMBL4369920,1118,559,559,197,374,0.8998794065681353,0.8468434350387298,True,56,0.10714285714285714,50,"{'ks_neg': (0.05138090363808778, 0.008050089455863454), 'ks_nc': (0.028622540250447415, 0.007155654423652735)}"
CHEMBL226_Ki_CHEMBL4407526,1118,559,559,188,373,0.8789499340482883,0.780233679621024,True,127,0.2125984251968504,100,"{'ks_neg': (0.045432527445125825, 0.027915988686969373), 'ks_nc': (0.050089445438282976, 0.013060323014532638)}"
CHEMBL226_Ki_CHEMBL829615,1118,559,559,192,358,0.8626177906448682,0.80371066367988,True,51,0.0784313725490196,47,"{'ks_neg': (0.04263399326410933, 0.01252236163365572), 'ks_nc': (0.03220035778175334, 0.0144803026703485)}"
CHEMBL226_Ki_CHEMBL841776,1118,559,559,170,373,0.900937547255406,0.8060219688458969,True,36,0.08333333333333333,33,"{'ks_neg': (0.08014119430043432, 0.02009612774896391), 'ks_nc': (0.0536672629695889, 0.03740306416508557)}"
CHEMBL226_Ki_CHEMBL863394,1118,559,559,178,362,0.8841310566516264,0.7816751003626203,True,75,0.16,63,"{'ks_neg': (0.09911641743840316, 0.02316933908719343), 'ks_nc': (0.08586762075134224, 0.007155635391885462)}"
CHEMBL226_Ki_CHEMBL870845,1118,559,559,197,363,0.8732436828673192,0.7919179217121525,True,84,0.13095238095238096,73,"{'ks_neg': (0.09365405559908724, 0.009777897557904452), 'ks_nc': (0.04651162790697705, 0.025676169211437783)}"
CHEMBL226_Ki_CHEMBL871362,1118,559,559,206,371,0.8953904122775653,0.8559905358148062,True,108,0.09259259259259259,98,"{'ks_neg': (0.059564393482778845, 0.015205724508576934), 'ks_nc': (0.05366726296958885, 0.045992975489145105)}"
CHEMBL226_Ki_CHEMBL894342,1118,559,559,174,358,0.8836990595611285,0.7842789313283902,True,98,0.12244897959183673,86,"{'ks_neg': (0.08452843765303208, 0.013437442862009763), 'ks_nc': (0.05724508050089483, 0.03357284452420389)}"
CHEMBL226_Ki_CHEMBL901018,1118,559,559,176,367,0.8625237360550676,0.7593074067352837,True,42,0.14285714285714285,36,"{'ks_neg': (0.049455772033552725, 0.015205725454070285), 'ks_nc': (0.050089445438282976, 0.05008944543899041)}"
CHEMBL226_Ki_CHEMBL904111,1118,559,559,188,378,0.8882691976830877,0.8234904694719181,True,75,0.10666666666666667,67,"{'ks_neg': (0.09004174120453157, 0.025582262646694165), 'ks_nc': (0.07155635062611854, 0.009838999527133227)}"
CHEMBL226_Ki_CHEMBL917986,1118,559,559,197,374,0.8748492582101691,0.7993503711918438,True,110,0.13636363636363635,95,"{'ks_neg': (0.053657696612554207, 0.01544412389154659), 'ks_nc': (0.05008944543828292, 0.008701036021365682)}"
CHEMBL226_Ki_CHEMBL918607,1118,559,559,210,374,0.8835038886614819,0.8418064138664841,True,104,0.10576923076923077,93,"{'ks_neg': (0.0451866874575515, 0.014311270265805476), 'ks_nc': (0.05366726296958885, 0.011627907020903383)}"
CHEMBL226_Ki_CHEMBL918669,1118,559,559,191,364,0.8785141133621671,0.7945190337619764,True,83,0.12048192771084337,73,"{'ks_neg': (0.058395093278810206, 0.039262501604273026), 'ks_nc': (0.04293381037567112, 0.009810645604704765)}"
CHEMBL226_Ki_CHEMBL922854,1118,559,559,201,370,0.8810556157758693,0.8325663863669043,True,135,0.17037037037037037,112,"{'ks_neg': (0.049833196344836295, 0.016879908684810818), 'ks_nc': (0.05008944543828292, 0.011084344524338985)}"
CHEMBL226_Ki_CHEMBL933587,1118,559,559,204,371,0.8803231151615575,0.8285435472007598,True,117,0.1282051282051282,102,"{'ks_neg': (0.07451214866748335, 0.011558282200237024), 'ks_nc': (0.039355992844365195, 0.009974756855665429)}"
