prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL218_Ki_CHEMBL932400,459,227,229,138,101,0.8456760630673675,0.8821039024666297,True,99,0.13131313131313133,86,"{'ks_neg': (0.654719183708765, 0.635216494992337), 'ks_nc': (0.5974068445453332, 0.3796786361270818)}"
CHEMBL222_IC50_CHEMBL1012269,381,188,189,90,93,0.8347923681257016,0.7654243061288986,True,0,,0,"{'ks_neg': (0.7448370029015222, 0.7448362587889583), 'ks_nc': (0.6875773950242059, 0.5585801608803915)}"
CHEMBL222_IC50_CHEMBL1041763,381,188,189,54,88,0.7816186556927298,0.5905776772666869,True,13,0.3076923076923077,9,"{'ks_neg': (0.5992664742664757, 0.5992664742664265), 'ks_nc': (0.6241697624676363, 0.4909834227375164)}"
CHEMBL222_IC50_CHEMBL1064405,381,188,189,65,114,0.7495037220843672,0.5839003346924404,True,0,,0,"{'ks_neg': (0.7128933444722947, 0.6281433939283373), 'ks_nc': (0.6289541821456741, 0.48857708270238653)}"
CHEMBL222_IC50_CHEMBL1176114,381,188,189,62,103,0.7654305308610617,0.6167389822026377,True,0,,0,"{'ks_neg': (0.5951096727795782, 0.534014011721121), 'ks_nc': (0.5604525498142533, 0.35128677041835205)}"
CHEMBL222_IC50_CHEMBL1686749,381,188,189,61,104,0.7886782786885246,0.6574978734429446,True,0,,0,"{'ks_neg': (0.657610907610911, 0.5821195990863642), 'ks_nc': (0.5652088258471262, 0.38136470308497417)}"
CHEMBL222_IC50_CHEMBL3385966,381,188,189,60,110,0.7731266149870801,0.5839189629708658,True,9,0.4444444444444444,5,"{'ks_neg': (0.6799422799422832, 0.5873844259762547), 'ks_nc': (0.6399864910503227, 0.48634605626635363)}"
CHEMBL222_IC50_CHEMBL4433105,381,188,189,113,115,0.9152305542617607,0.9241619368345494,True,0,,0,"{'ks_neg': (0.6855302507476447, 0.6090678992631704), 'ks_nc': (0.6876336823145356, 0.5273819789162684)}"
CHEMBL222_IC50_CHEMBL869835,381,188,189,65,114,0.7722084367245657,0.6333214988171549,True,0,,0,"{'ks_neg': (0.7076023391812893, 0.6228524214466346), 'ks_nc': (0.6236631768546688, 0.47260463338853326)}"
CHEMBL222_IC50_CHEMBL948897,381,188,189,67,115,0.8954000489356496,0.8459592409216704,True,26,0.07692307692307693,24,"{'ks_neg': (0.5370140326662075, 0.44441749157571575), 'ks_nc': (0.5709501294607694, 0.3754092920514019)}"
CHEMBL222_IC50_CHEMBL954294,381,188,189,69,114,0.7776570048309178,0.6463566433872833,True,12,0.25,9,"{'ks_neg': (0.4551656920077972, 0.39527197265652886), 'ks_nc': (0.46020488573680063, 0.3248421748865805)}"
CHEMBL222_IC50_CHEMBL995197,381,188,189,73,104,0.8360888049126122,0.7295587380540414,True,13,0.15384615384615385,11,"{'ks_neg': (0.6421957671957699, 0.576051984417894), 'ks_nc': (0.6399583474051578, 0.4439552083331933)}"
CHEMBL226_Ki_CHEMBL1000453,1120,558,558,228,366,0.851063264221159,0.8109970155946888,True,159,0.22012578616352202,124,"{'ks_neg': (0.38736118455843555, 0.04582723944516609), 'ks_nc': (0.39784946236559227, 0.12943582999003223)}"
CHEMBL226_Ki_CHEMBL1117074,1120,558,558,191,370,0.8838324036692013,0.8296541514383409,True,45,0.06666666666666667,42,"{'ks_neg': (0.4601181826988251, 0.05304658681116145), 'ks_nc': (0.4516129032258058, 0.19118365330492576)}"
