prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL222_IC50_CHEMBL4433105,407,215,136,79,125,0.6024872307350655,0.6963899444706068,True,0,,0,"{'ks_neg': (0.9085294117647034, 0.8459422349646771), 'ks_nc': (0.897366621067029, 0.7035420238877346)}"
CHEMBL222_IC50_CHEMBL869835,407,215,136,79,125,0.6100377526093715,0.705050783033773,True,10,0.2,8,"{'ks_neg': (0.9085294117647034, 0.8459427873614069), 'ks_nc': (0.897366621067029, 0.7035419139875074)}"
CHEMBL222_IC50_CHEMBL948897,407,215,136,79,125,0.6055962691538974,0.6731401173506993,True,6,0.16666666666666666,5,"{'ks_neg': (0.9085294117647034, 0.8459427873614069), 'ks_nc': (0.897366621067029, 0.7035419139875074)}"
CHEMBL222_IC50_CHEMBL954294,407,214,137,42,103,0.794486215538847,0.7146832879897682,True,65,0.47692307692307695,34,"{'ks_neg': (0.9197788958968172, 0.8946011582802316), 'ks_nc': (0.9334197421379348, 0.8426553913449312)}"
CHEMBL222_IC50_CHEMBL995197,407,215,136,79,125,0.5729513657561625,0.6604308330104396,True,16,0.1875,13,"{'ks_neg': (0.9085294117647034, 0.8459427873614069), 'ks_nc': (0.897366621067029, 0.7035419139875074)}"
CHEMBL226_Ki_CHEMBL1000453,1126,645,465,138,491,0.8029738953153392,0.6697020958361266,True,216,0.5324074074074074,101,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL1117074,1126,645,465,138,491,0.7957718388512165,0.6610633638766538,True,223,0.547085201793722,101,"{'ks_neg': (0.7191292731533241, 0.08427374862640535), 'ks_nc': (0.699724931232813, 0.02416583385072997)}"
CHEMBL226_Ki_CHEMBL1227963,1126,645,465,157,491,0.8166101414509057,0.715558702819186,True,252,0.5158730158730159,122,"{'ks_neg': (0.7769528940279933, 0.1977848032237604), 'ks_nc': (0.7729932483120837, 0.10415311299027519)}"
CHEMBL226_Ki_CHEMBL1664119,1130,645,461,196,491,0.8385829803619562,0.7893604768138675,True,253,0.3675889328063241,160,"{'ks_neg': (0.8358390287650537, 0.39749688136855466), 'ks_nc': (0.8264103986951126, 0.3510471722077598)}"
CHEMBL226_Ki_CHEMBL1936134,1126,645,465,138,491,0.8150290298275938,0.6746878376461454,True,221,0.5384615384615384,102,"{'ks_neg': (0.7191292731533241, 0.08427227300536233), 'ks_nc': (0.699724931232813, 0.023656064684794476)}"
CHEMBL226_Ki_CHEMBL1959505,1126,645,465,138,491,0.8191508221424456,0.6808651335125322,True,195,0.5282051282051282,92,"{'ks_neg': (0.7191292731533241, 0.08427424213477874), 'ks_nc': (0.699724931232813, 0.023655914025604186)}"
CHEMBL226_Ki_CHEMBL2073178,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427252233718563), 'ks_nc': (0.699724931232813, 0.02415133462113471)}"
CHEMBL226_Ki_CHEMBL2174889,1126,645,465,138,491,0.793489340956433,0.6636133245598989,True,200,0.55,90,"{'ks_neg': (0.7191292731533241, 0.08427290766571327), 'ks_nc': (0.699724931232813, 0.04185030119595193)}"
CHEMBL226_Ki_CHEMBL2187070,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427419424397997), 'ks_nc': (0.699724931232813, 0.03449046861087246)}"
CHEMBL226_Ki_CHEMBL3096082,1126,645,465,138,491,0.8050569516465009,0.6603538378640421,True,202,0.5148514851485149,98,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL3240796,1125,645,466,179,491,0.8558192046405698,0.7877743141823675,True,219,0.3698630136986301,138,"{'ks_neg': (0.7728687184776682, 0.22802552774143614), 'ks_nc': (0.7552017832784432, 0.12533006426635734)}"
CHEMBL226_Ki_CHEMBL3379783,1126,645,465,138,491,0.8069627265877765,0.6713406795785509,True,222,0.5315315315315315,104,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL3411599,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427303361089367), 'ks_nc': (0.699724931232813, 0.028932207764741535)}"
CHEMBL226_Ki_CHEMBL3744101,1126,645,465,138,491,0.8130346141913752,0.694944984879692,True,204,0.4803921568627451,106,"{'ks_neg': (0.7105271226156895, 0.0827759591642272), 'ks_nc': (0.6924231057764487, 0.036252046819096245)}"
CHEMBL226_Ki_CHEMBL3767376,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL3802551,1126,645,465,138,491,0.8022647697557947,0.6634394469037193,True,219,0.5342465753424658,102,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL3878177,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL4152680,1126,645,465,138,491,0.8051677525151798,0.6611332647394588,True,212,0.5283018867924528,100,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL4275270,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427218673584769), 'ks_nc': (0.699724931232813, 0.032326254190310766)}"
CHEMBL226_Ki_CHEMBL4333783,1126,645,465,138,491,0.8041927048708062,0.6597312309937766,True,191,0.5130890052356021,93,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL4369920,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL4407526,1127,645,464,200,491,0.7939583333333334,0.750330360631328,True,245,0.4122448979591837,144,"{'ks_neg': (0.8202252616054571, 0.3438120698270415), 'ks_nc': (0.8039461373964246, 0.27393704850084544)}"
CHEMBL226_Ki_CHEMBL829615,1126,645,465,138,491,0.8069405664140407,0.6630224859665912,True,208,0.5384615384615384,96,"{'ks_neg': (0.7191292731533241, 0.08427269818307304), 'ks_nc': (0.699724931232813, 0.028861856045513945)}"
CHEMBL226_Ki_CHEMBL841776,1147,645,444,185,491,0.8553271418136283,0.8006784215083727,True,225,0.3466666666666667,147,"{'ks_neg': (0.796503733876436, 0.32628981682940045), 'ks_nc': (0.7926356589147222, 0.29377737562819306)}"
CHEMBL226_Ki_CHEMBL863394,1126,645,465,138,491,0.8145636661791429,0.6754842526821121,True,196,0.5102040816326531,96,"{'ks_neg': (0.7191292731533241, 0.08427425421699497), 'ks_nc': (0.699724931232813, 0.029857795972375867)}"
