smiles,pchembl_value
COCCCN(C(=O)NCc1ccc(C(=O)NO)cc1)c1ccccc1,7.22
COCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccccc1,8.03
CCCCN(C(=O)NCc1ccc(C(=O)NO)cc1)c1ccccc1,7.6
COc1ccccc1NC(=O)NCc1ccc(C(=O)NO)cc1,6.86
CCN(C(=O)NCc1ccc(C(=O)NO)cc1)c1ccccc1,7.39
COc1ccccc1NC(=O)N(CCCN(C)C)Cc1ccc(C(=O)NO)cc1,6.34
COc1ccccc1NC(=O)N(CCc1c[nH]c2ccccc12)Cc1ccc(C(=O)NO)cc1,6.33
COCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccccc1,7.93
COc1ccccc1NC(=O)N(CCc1ccc(O)cc1)Cc1ccc(C(=O)NO)cc1,8.24
O=C(NO)c1ccc(CN(CCc2ccccc2)C(=O)Nc2ccccc2)cc1,7.85
O=C(CCCCCCC(=O)Nc1ccc(-c2ccccc2NC(=O)C2CCCN2)cc1)NO,7.8
CN1c2ccc(NCc3ccc(-c4noc(CCCCCCC(=O)NO)n4)cc3)cc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21,7.89
O=C(CCCCCCNC(=O)Cn1cnc2c(Nc3ccccc3)nc(Nc3ccccc3)nc21)NO,8.74
O=C(CCCCCNC(=O)Cn1cnc2c(Nc3ccccc3)nc(Nc3ccccc3)nc21)NO,8.42
CC(CO)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.29
Cc1cc(NC(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)cc(C)n1,5.28
CCCN(C)CC(C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.48
CN1CCN(C(=O)Cc2ccc(-c3noc(C(F)(F)F)n3)cc2)CC1,5.25
CC(CN(C)C(C)C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.27
CC(C)CC(CO)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.26
O=S(=O)(Nc1ccccc1Cl)c1ccc(-c2noc(C(F)(F)F)n2)cc1,6.11
CNCCNC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.47
Cc1ccc(NS(=O)(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)cc1,6.13
CCCCNC(=O)Cc1ccc(-c2noc(C(F)(F)F)n2)cc1,5.5
Cc1ccccc1NS(=O)(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,6.16
CCCCN(C)CC(C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.51
O=S(=O)(Nc1cccc(Cl)c1)c1ccc(-c2noc(C(F)(F)F)n2)cc1,6.34
O=S(=O)(NCc1ccccc1)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.36
CC(C)NC(=O)Cc1ccc(-c2noc(C(F)(F)F)n2)cc1,5.51
O=S(=O)(NCCCO)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.51
CCCN(CCC)CC(C)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.52
CC(CN1CCCC1)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.35
CC(CN1CCCCC1)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.52
CN1CCC(NC(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)C1,5.52
O=C(NCCCn1ccnc1)c1ccc(-c2noc(C(F)(F)F)n2)cc1,5.34
CC(CN1CCOCC1)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1F,5.5
