smiles,177e811e75430142a666759fd698b6e5,5b0fe37d404cd3c110d464704646dcec,620b5ed985061392ed8aae9f9528d061,6fa320bfcd6509c7afae3ec8401badd8,78d09c9bdd2584d3854a898d227d641f,7f73c5dd89b7b6d8ca56c162eee39ae0,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,aab458b586520ad6a82e21e396e745fa,b311698a3b8d92f7eeb6ecfd51b6b912,c1d4611dffa813a26fd1034c25cabde3,c6eb716f36a79621c8c73c735dd764f1,cec89ffbb36294b123484faf17ab3a30,d2bb6d3d58b1bcb29df748e0c133c4f1,de4ea86d93119b0ed700c0fefbdba03a,fdec110d610fe1b09f58d831c373b615
CC(=O)c1cccc(NC(=O)Nc2cccc3ccc(O)cc23)c1,0.0,0.0,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)c1ccccc1-c1ccc2[nH]c(C=Cc3ccc(C(C)(C)C)cc3)nc2c1,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)c1ccccc1-c1ccc2[nH]c(C=Cc3ccc(C(F)(F)F)cc3)nc2c1,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1ccc(-c2ccccc2)c(F)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0
CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1cccc(C(=O)c2ccccc2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0
CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1cccc(Oc2ccccc2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
CC(C(=O)NCc1cc(C(F)(F)F)nn1-c1ccc(Cl)cc1)c1ccc(NS(C)(=O)=O)c(F)c1,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1cc(C(F)(F)F)nn1-c1cccc(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(C)(C)C)cc1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,5.92,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)Cl)nc1OC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N(C)C)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N(C)c1ccccc1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CC=C(c2ccc(F)cc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CC=C(c2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CC=CCC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCC(C(F)(F)F)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,0.0,0.0,0.0,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
