smiles,5b0fe37d404cd3c110d464704646dcec,620b5ed985061392ed8aae9f9528d061,6985506761917809febe084969c70970,6a88bba0e3106f72feeac64cca116875,6ca673946935809de97f788926b01dd0,7f73c5dd89b7b6d8ca56c162eee39ae0,88f6e85df94f2f1213c571a5bc5bc793,93411e5dfe32b461732e76df488a6224,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,aa461b785a983250aad972831c85f6ee,aab458b586520ad6a82e21e396e745fa,b0fd50b2a84e9e8c259dbcef84128415,bf615fc2b04369c84661b7e8b940d315,c0db50ee265eed4f605cce27bcb440ed,c6eb716f36a79621c8c73c735dd764f1,d2bb6d3d58b1bcb29df748e0c133c4f1,de4ea86d93119b0ed700c0fefbdba03a,e88725960b249dc424ccffef189c0409,efc372c7ca16a5c6683e34d1eb239f0d,f626eefe954fd8d53aed7403a4e04df7
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,0.0,0.0,0.0,0.0,0.0,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,0.0,0.0,0.0,0.0,0.0,6.81,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCN(CC=C)CCc1c[nH]c2ccccc12,0.0,0.0,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCOc1c(OC)cc2c3c1-c1cc(N(C)C)ccc1CC3N(C)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,0.0,0.0,0.0
C=CCOc1c(OC)cc2c3c1-c1cc(NC(=O)CCC)ccc1CC3N(C)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0
C=CCOc1c(OC)cc2c3c1-c1cc(NS(C)(=O)=O)ccc1CC3N(C)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0
C=CCOc1cc(F)c(F)cc1C1CC1CN,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=N)NCC1CCCc2cc(S(=O)(=O)c3ccccc3)ccc21,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=NNC(=N)N)c1c[nH]c2ccc(NS(=O)(=O)c3ccccc3)cc12,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N(C)CC1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCCn2c1nc(C)c2-c1cn(S(=O)(=O)c2ccccc2)c2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCN(Cc2cn(S(=O)(=O)c3ccccc3Br)c3ccccc23)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCN(c2ccc3c(ccn3S(=O)(=O)c3ccccc3)c2)CC1,0.0,0.0,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCN(c2ccc3ccn(S(=O)(=O)c4ccccc4)c3c2)CC1,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCN(c2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1,0.0,0.0,0.0,0.0,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCN(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCc2ccc(NS(=O)(=O)c3c(Cl)nc4n3CCS4)cc21,0.0,0.0,0.0,0.0,0.0,8.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCc2oc3c(Cl)cc(S(=O)(=O)c4ccccc4)cc3c2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCc2oc3c(Cl)cc(S(=O)(=O)c4cn(C)c5ccccc45)cc3c2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCn2c1nc(C)c2-c1cn(S(=O)(=O)c2ccccc2)c2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NCC1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NCC1CCCc2cc(S(=O)(=O)c3ccccc3)cc(F)c21,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1cc(N2CCNCC2)ccc1S(=O)(=O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.0,0.0
CC(=O)Nc1ccc(CCN(C)CC2Cc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c32)cc1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0
CC(=O)Nc1ccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1nc(C)c(-c2c(C)n(S(=O)(=O)c3ccccc3)c3ccccc23)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1nc(C)c(-c2ccc3ccn(S(=O)(=O)c4ccccc4)c3c2)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1nc(C)c(-c2cn(S(=O)(=O)c3cccc4ccccc34)c3ccccc23)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1nc(C)c(-c2cn(S(=O)(=O)c3ccccc3)c3ccc(F)cc23)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1nc(C)c(-c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1ncc(-c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)[nH]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Oc1ccc(-c2ccc(CNCCc3c[nH]c4ccccc34)o2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Oc1ccc(CNCCOc2cccc3c2CCN3S(=O)(=O)c2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,0.0,0.0
CC(=O)Oc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2cccc3ccccc23)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0
CC(=O)Oc1ccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.0,0.0
CC(=O)Oc1cccc(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,0.0,0.0
CC(=O)c1ccc2c(n1)c(S(=O)(=O)c1ccc(Br)cc1)cn2CCN(C)C,0.0,0.0,0.0,8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)c1ccc2c(n1)c(S(=O)(=O)c1cccc(F)c1)cn2CCN(C)C,0.0,0.0,0.0,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)c1ccc2c(n1)c(S(=O)(=O)c1cccc3ccccc13)cn2CCN(C)C,0.0,0.0,0.0,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)c1ccc2c(n1)c(S(=O)(=O)c1ccccc1)cn2CCN(C)C,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)N1c2ccccc2Sc2ccccc21)c1ccccc1,0.0,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)C(=O)NCC1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)OC(=O)N1CC=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1,0.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)OC(=O)N1CCC(CNCCOc2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,0.0,0.0
CC(C)(C)OC(=O)N1CCCC(CNCCOc2cccc3c2CC(=O)N3Cc2ccccc2)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84,0.0,0.0
CC(C)(C)OC(=O)N1CCCC(CNCCOc2cccc3c2CCN3Cc2ccccc2)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,0.0,0.0
