smiles,08db82d861b671e7327435adb0af8d8b,095fb41a59ca6f9f7711a6343b066366,331d40c28787edbe6b3f663d6d4fcc7e,3c201c7b515ba38b493832d7d6ce9bd5,3dfac2c1d8d2e18a74ac7d8213115b6e,4997c0827f806e38795e2047b1d6dcce,4fc12e0e6b740babc7d0d3a06a10f63e,527286e09ec6f78c04e2d61c922e3cae,5b0fe37d404cd3c110d464704646dcec,6429427b3300d67da1d1e9f5690cacf6,692032d52cbe34014e2d4d2e71dca8b4,6b5baf640e455e9194475f39d447d12a,6ca673946935809de97f788926b01dd0,788c6cb2a82846c831e896b3e00a6a3e,7f73c5dd89b7b6d8ca56c162eee39ae0,91f95caffaab390df3cc844739289623,950edee628a799c6d21b79616a3c2922,aa461b785a983250aad972831c85f6ee,aab458b586520ad6a82e21e396e745fa,c2deacd5a4c87aca95f217fbe1e8d15e,c6eb716f36a79621c8c73c735dd764f1,cec89ffbb36294b123484faf17ab3a30,ece75852ff9270ff156fcc9e21a79d7f
CC(C)C(=O)N(Cc1ccccc1C(F)(F)F)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(=O)N(Cc1ccccc1C1CC1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(c1ccc(Cl)cc1)C1CCCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(=O)N(Cc1ccccc1-c1ccccc1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(c1ccc(C(C)C)cc1)C1CCCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(c1ccc(Cl)c(Cl)c1)C1CCCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(c1ccc(Cl)c(Cl)c1)C1CCCCN1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(c1ccc(Cl)cc1)C1CCCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(c1cccc(Cl)c1)C1CCCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
