smiles,pchembl_value
CCc1c(C(=O)NC2CCCCC2O)nc(-c2ccccc2Cl)n1-c1ccc(Br)cc1,tensor([5.5700])
O=C(NC1c2ccccc2CC1O)c1cn(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)n1,tensor([5.9200])
O=C(NC1CCCC1O)c1cn(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)n1,tensor([5.2000])
O=C(NC1CCCCC1O)c1cn(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)n1,tensor([5.2800])
CCc1c(C(=O)NC2CCCCC2O)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1,tensor([5.6400])
O=C(NC1CCCCC1)c1cn(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)n1,tensor([5.6400])
CCCCCCCC=CC=CC(=O)NCC(C)C,tensor([7.2800])
COc1ccc(-c2c(C)c3c(n2-c2ccccc2Cl)CCN(N2CCCCC2)C3=O)cc1,tensor([6.0700])
Cc1c2c(n(-c3ccccc3Cl)c1-c1ccc(Cl)cc1)CCN(N1CCCCC1)C2=O,tensor([5.9600])
Cc1c2c(n(-c3ccc(Cl)cc3Cl)c1-c1ccc(Cl)cc1)CCN(C1CCCCC1)C2=O,tensor([5.0800])
Cc1c2c(n(-c3ccc(Cl)cc3Cl)c1-c1ccc(Cl)cc1)CCN(N1CCCCC1)C2=O,tensor([5.8900])
CCCCCCc1ccc(OCCCCCCCCCCCC(=O)NC2CC2)cc1O,tensor([5.4100])
CCCCCc1ccc(OCCCCCCCCCCC(=O)NC2CC2)cc1O,tensor([7.8900])
CCCCCCc1c(O)cccc1OCCCCCCCCCCC(=O)NCCc1ccc(O)c(O)c1,tensor([5.1000])
CCCCCCc1c(O)cccc1OCCCCCCCCCCC(=O)NCc1ccc(OC)c(O)c1,tensor([5.6800])
CCCCCCc1ccc(OCCCCCCCCCCC(=O)NCC2CC2)cc1O,tensor([5.5400])
CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NCC2CC2)c1,tensor([7.1000])
CCCCCc1cc(O)cc(OCCCCCCCCCCCC(=O)NC2CC2)c1,tensor([6.5100])
CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NCc2ccc(OC)c(O)c2)c1,tensor([5.7800])
CCCCCCc1c(O)cccc1OCCCCCCCC(=O)NC1CC1,tensor([5.7500])
CCCCCCc1ccc(OCCCCCCCC(=O)NC2CC2)cc1O,tensor([6.5500])
CCCCCCc1ccc(OCCCCCCCC(=O)NCCO)cc1O,tensor([5.6200])
