smiles,00a2afcaf74127670fee80a7ab6abfce,095fb41a59ca6f9f7711a6343b066366,3c201c7b515ba38b493832d7d6ce9bd5,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,aab458b586520ad6a82e21e396e745fa,ad44e8c3c329d29118132e14ebb7d57f,c6eb716f36a79621c8c73c735dd764f1,d410a79829f7b5969e91eeb2e7aa14d8,ef3b4627f9961bac2d0298e9d8390ece
C#CCN(C)C(C)Cc1ccc(OCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCc2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0
C#CCN(C)C(C)Cc1ccccc1,7.1,0.0,0.0,7.71,6.66,8.17,0.0,7.71,7.7,7.72
C#CCN(C)C(CF)CC(=C)C,0.0,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(CF)CC(C)C,0.0,0.0,0.0,6.88,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(CF)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,0.0,0.0
C#CCN(C)C(CF)Cc1ccco1,0.0,0.0,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,0.0,0.0,0.0,6.85,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C1=CC(=O)c2ccccc2C1=O,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C1CCc2cccc(OC(=O)N(C)C)c21,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)CCc1ccccc1,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)Cc1ccc(F)c(F)c1,0.0,0.0,0.0,0.0,6.89,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(Br)cc1,0.0,0.0,0.0,0.0,7.22,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(C)c(C)c1,0.0,0.0,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(CNc2ccccc2)cc1,0.0,0.0,0.0,0.0,6.07,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(COc2ccccc2)cc1,0.0,0.0,0.0,0.0,6.21,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(Cl)c(C)c1,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(Cl)cc1,0.0,0.0,0.0,0.0,6.92,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(F)c(C)c1,0.0,0.0,0.0,0.0,6.64,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(F)c(Cl)c1,0.0,0.0,0.0,0.0,7.58,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(F)c(F)c1,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(F)cc1,0.0,0.0,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccc(OC)cc1,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(CNc2ccccc2)c1,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1,0.0,0.0,0.0,0.0,8.26,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(COc2ccc(OC)cc2)c1,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(COc2cccc(F)c2)c1,0.0,0.0,0.0,0.0,7.15,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(COc2cccc(OC)c2)c1,0.0,0.0,0.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(COc2ccccc2)c1,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(Cl)c1,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(F)c1,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(OC)c1,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(OCc2ccc(F)cc2)c1,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(OCc2ccc(OC)cc2)c1,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(OCc2cccc(F)c2)c1,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(OCc2cccc(OC)c2)c1,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccc(OCc2ccccc2)c1,0.0,0.0,0.0,0.0,5.68,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccccc1,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1cccs1,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CC(=C)c1ccoc1,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCCCCCCCOc1ccc2c(c1)OCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38
C#CCN(C)CCCCCCOc1ccc(C(C)=O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69
C#CCN(C)CCCCCCOc1ccc(C=O)c(OC)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26
C#CCN(C)CCCCCCOc1ccc2c(c1)CCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89
C#CCN(C)CCCCCCOc1ccc2c(c1)CCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88
C#CCN(C)CCCCCCOc1ccc2c(c1)OCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29
C#CCN(C)CCCCCCOc1ccc2c(c1)OCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93
C#CCN(C)CCCCCOc1ccc(C(C)=O)cc1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19
