smiles,pchembl_value
CNC(=O)C1SC(n2cnc3c(N)nc(Cl)nc32)C(O)C1O,tensor([9.4000])
CNC(=O)C1SC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,tensor([9.4200])
CNC(=O)C1SC(n2cnc3c(NC)nc(Cl)nc32)C(O)C1O,tensor([9.5500])
CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,tensor([9.])
CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,tensor([9.5400])
CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,tensor([9.5500])
CCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,tensor([9.1900])
Cn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,tensor([9.3700])
CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21,tensor([7.0700])
CCCCC#Cc1nc2c(N)ncnc2n1C1OC(CO)C(O)C1O,tensor([6.1900])
CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,tensor([8.2200])
Nc1ncnc2c1nc(C#Cc1ccccc1)n2C1OC(CO)C(O)C1O,tensor([6.1000])
Nc1ncnc2c1nc(C=CC(=O)c1ccccc1)n2C1OC(CO)C(O)C1O,tensor([5.0100])
CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,tensor([6.1700])
COC(=Cc1ccc(O)cc1)C(=O)OC1C(OC(=O)C=Cc2c[nH]cn2)C(CSC)OC1n1cnc2c(N)ncnc21,tensor([5.1600])
Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(C)c1=O,tensor([4.9600])
CCNC(=O)C1OC(n2cnc3c(NCCCCCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,tensor([7.5500])
CCNC(=O)C1OC(n2cnc3c(NCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,tensor([6.4200])
CCNC(=O)C1OC(n2cnc3c(NCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,tensor([7.2500])
CCNC(=O)C1OC(n2cnc3c(NCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,tensor([7.6300])
CCNC(=O)C1OC(n2cnc3c(NCCCCCCCCNc4ccc([N+](=O)[O-])c5nonc45)ncnc32)C(O)C1O,tensor([8.1300])
OCC12CC1C(n1cnc3c(NCc4cccc(I)c4)ncnc31)C(O)C2O,tensor([8.3800])
OCC12CC1C(n1cnc3c(NC4CCCC4)nc(Cl)nc31)C(O)C2O,tensor([6.3300])
CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C2OC12,tensor([5.9600])
CCCn1c(=O)c2nc(-c3ccc(OCOC(=O)NCCN)cc3)[nH]c2n(CCC)c1=O,tensor([7.1500])
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,tensor([6.1200])
COC(=O)C1=C2C=CN(C)C=C2c2nc(-c3ccccc3)nn2C1,tensor([7.8900])
CNc1nc(Cl)nc2c1ncn2C1OC(CO)C(F)C1O,tensor([6.4900])
CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1F,tensor([9.])
OCC1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1F,tensor([7.1200])
COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,tensor([9.7000])
Cn1c(=O)c2[nH]cnc2n(C)c1=O,tensor([4.0700])
CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,tensor([8.7400])
OCC1OC(n2cnc3c(NCc4cccc(Cl)c4)ncnc32)C(O)C1O,tensor([8.3600])
CNC(=O)C12CC1C(n1cnc3c(NCc4cc(Cl)ccc4OCC(N)=O)nc(Cl)nc31)C(O)C2O,tensor([8.2800])
OCC1OC(n2cnc3c(NCc4cccnc4)ncnc32)C(O)C1O,tensor([8.3500])
OCC1OC(n2cnc3c(NCC(c4ccccc4)c4ccccc4)ncnc32)C(O)C1O,tensor([8.4100])
CNC(=O)C12CC1C(n1cnc3c(NCc4cc(C#CCO)ccc4Cl)nc(Cl)nc31)C(O)C2O,tensor([6.6600])
CNC(=O)C12CC1C(n1cnc3c(NCc4ccc(N)cc4)nc(Cl)nc31)C(O)C2O,tensor([7.8500])
CNC(=O)C12CC1C(n1cnc3c(NC4CC4c4ccccc4)nc(Cl)nc31)C(O)C2O,tensor([9.1100])
OCC1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,tensor([8.2400])
CNC(=O)C12CC1C(n1cnc3c(NCc4cc(I)ccc4OC)nc(Cl)nc31)C(O)C2O,tensor([9.2400])
CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(Cl)c4)nc(Cl)nc31)C(O)C2O,tensor([9.5400])
CNC(=O)C12CC1C(n1cnc3c(NC)nc(N)nc31)C(O)C2O,tensor([8.8000])
CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(C#CCO)c4)nc(Cl)nc31)C(O)C2O,tensor([8.5400])
CNC(=O)C12CC1C(n1cnc3c(NCc4cccnc4)nc(Cl)nc31)C(O)C2O,tensor([7.9600])
OCC1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,tensor([8.7400])
OCC1OC(n2cnc3c(NC4CC4c4ccccc4)ncnc32)C(O)C1O,tensor([9.0700])
CNC(=O)C12CC1C(n1cnc3c(NCc4cc(OC)ccc4OC)nc(Cl)nc31)C(O)C2O,tensor([8.8500])
CNC(=O)C12CC1C(n1cnc3c(NCc4cc(I)ccc4Cl)nc(Cl)nc31)C(O)C2O,tensor([9.0800])
CNC(=O)C12CC1C(n1cnc3c(NCc4cc(Cl)ccc4OCc4ccccc4)nc(Cl)nc31)C(O)C2O,tensor([8.2800])
Cc1ccccc1CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,tensor([7.3300])
CNC(=O)C12CC1C(n1cnc3c(NCC(c4ccccc4)c4ccccc4)nc(Cl)nc31)C(O)C2O,tensor([9.1600])
CNC(=O)C12CC1C(n1cnc3c(NCc4cccc(C)c4)nc(Cl)nc31)C(O)C2O,tensor([9.2000])
