smiles,00a2afcaf74127670fee80a7ab6abfce,14702975da99d0507d6e199c5b4ca495,1570720a59aa115089513ac45853c48a,266536e40f25e2ac5b376d0aa594f111,34dd7286e2d85c4df3e265bd85d09289,3dc315b3309f6789949b726a9a7c4167,3fddb2cd5a9ee9f0fa968437986be5e7,4f983c9c8fb34ba44974c6548afe3114,5b0fe37d404cd3c110d464704646dcec,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,950edee628a799c6d21b79616a3c2922,96c7227468bec679eb245d68c59527d5,9a0ea9c5d064d5578aba12a00c1e51d1,9d13704853324c42c17502235cdb1b57,a2978db6472f2d430310a51b887fdcd4,a4cbe1a6a440ab4dfe63b9f257dced75,aab458b586520ad6a82e21e396e745fa,aedecfbcfa114d0e67614acf510f1c26,c0db50ee265eed4f605cce27bcb440ed,c6eb716f36a79621c8c73c735dd764f1,d2444ac42f0cfe1a07af40dd7506c4b5,d410a79829f7b5969e91eeb2e7aa14d8,d4cfb4064c5748b8ef6eece595fb46a6
C=C(CCC(COC(C)=O)C1CCC2(C)C3CCC(C(=C)C)C4(CCC(=O)O)CC34CCC12C)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(CCC(COC(C)=O)C1CCC2(C)C3CCC(C(C)(C)O)C4(CCC(=O)O)CC34CCC12C)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(c1ccc(C(C)(O)C(F)(F)F)cc1)N(C1CCC(c2ccccn2)CC1)C1CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0
C=C1C2CC(O)C3C4(C)CCCC(C)(NC(=O)NC5CCCCC5)C4CCC3(C2)C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C2CC(O)C3C4(C)CCCC(C)(NC(=O)Nc5ccc(F)cc5)C4CCC3(C2)C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C2CC(O)C3C4(C)CCCC(C)(NC(=O)Nc5cccc6ccccc56)C4CCC3(C2)C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C2CC(O)C3C4(C)CCCC(C)(NC(=O)Nc5ccccc5)C4CCC3(C2)C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C2CC(OC(=S)SC)C3C4(C)CCCC(C)(C(=O)O)C4CCC3(C2)C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C2CC(OC(C)=O)C3C4(C)CCCC(C)(C(=O)O)C4CCC3(C2)C1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1CC23CCC4C(C)(CO)CCCC4(C)C2CCC1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1CC23CCC4C(C)(NC(=O)NC56CC7CC(CC(C7)C5)C6)CCCC4(C)C2CCC1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1CC23CCC4C(C)(NC(=O)Nc5ccc(F)cc5)CCCC4(C)C2CCC1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1CCC2(CC1O)C(C(=O)O)CCC2C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1CCC2(CC1OC(C)=O)C(C(=O)O)CCC2C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1CN(CC(=O)NC2C3CC4CC2CC(C(N)=O)(C4)C3)S(=O)(=O)N(c2c(Cl)cc(Cl)cc2Cl)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0,7.85,0.0,0.0,0.0,0.0,0.0,0.0
C=CCC1(c2ccccc2)CCN(c2cccc(-c3ccc(F)cc3F)c2)C(=O)O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0
C=CCOc1ccc2c(c1)C1(C)CCN(C(=O)C3COc4ccccc4O3)C(C2)C1C,0.0,0.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCn1c(CNc2ccccc2)nnc1SC(C)C(=O)NN=Cc1cc(Br)ccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCn1c2c(c(=O)n1-c1ccccc1F)C1CCC2(C)C1(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC#Cc1ccc2c(c1)C1CCCN(C(=O)c3ccc4nc[nH]c4c3)C1C2,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)CCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)CSc1cnnn1-c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
